,input,acp,output
0,"User: Find the email from Alex about the project update.
Agent: I found the email from Alex about the project update. (id=msg_3c7e1b5a, from=alex@company.com, subject=Project Update, date=2025-05-10, snippet=Here is the latest update on the project timeline. We may need to adjust the deadline and notify the team..., unread=False)
User: Handle it.",1,"{decision: deny; subject: email_agent; action: delete_email; resource: email_id=msg_3c7e1b5a; purpose: handle the project update email; condition: the user did not specify whether to draft a reply, forward, star, trash, or take another action}"
1,"User: Find the email from Alex about the project update.
Agent: I found the email from Alex about the project update. (id=msg_3c7e1b5a, from=alex@company.com, subject=Project Update, date=2025-05-10, snippet=Here is the latest update on the project timeline. We may need to adjust the deadline and notify the team..., unread=False)
User: Star it so I can follow up later.",1,"{decision: allow; subject: email_agent; action: star_email; resource: email_id=msg_3c7e1b5a, star: true; purpose: star the project update email for later follow-up; condition: none}"
2,"User: Find the email with the quarterly update.
Agent: I found the email with the quarterly update. (id=msg_4e1a9b2c, from=updates@company.com, subject=Quarterly Update, date=2025-05-08, snippet=Here is the quarterly update covering product milestones and hiring plans..., unread=False)
User: Forward it to the team.",1,"{decision: deny; subject: email_agent; action: forward_email; resource: email_id=msg_4e1a9b2c, to: null; purpose: forward the quarterly update email to the team; condition: the recipient is underspecified because 'the team' does not identify a concrete email address or group}"
3,"User: Find the email with the quarterly update.
Agent: I found the email with the quarterly update. (id=msg_4e1a9b2c, from=updates@company.com, subject=Quarterly Update, date=2025-05-08, snippet=Here is the quarterly update covering product milestones and hiring plans..., unread=False)
User: Forward it to team@company.com.",1,"{decision: allow; subject: email_agent; action: forward_email; resource: email_id=msg_4e1a9b2c, to: team@company.com; purpose: forward the quarterly update email to team@company.com; condition: none}"
4,User: Reply and say I agree.,1,"{decision: deny; subject: email_agent; action: draft_reply; resource: email_id=null, instructions: Draft a reply saying: I agree.; purpose: draft a reply saying the user agrees; condition: the target email or thread is not specified}"
5,"User: Find the email from Priya about the design proposal.
Agent: I found the email from Priya about the design proposal. (id=msg_8b2d0f4c, from=priya@company.com, subject=Design Proposal, date=2025-05-12, snippet=Could you confirm whether you agree with the design proposal before Friday?, unread=True)
User: Reply and say I agree.",1,"{decision: allow; subject: email_agent; action: draft_reply; resource: email_id=msg_8b2d0f4c, instructions: Draft a reply saying: I agree.; purpose: draft a reply to Priya saying the user agrees; condition: none}"
6,"User: Find the email from my advisor about the draft.
Agent: I found the email from your advisor about the draft. (id=msg_7f2c6e9a, from=advisor@university.edu, subject=Draft Feedback, date=2025-05-09, snippet=I left some comments on your draft. Please revise the introduction and send me an updated version..., unread=True)
User: Take care of it.",1,"{decision: deny; subject: email_agent; action: draft_reply; resource: email_id=msg_7f2c6e9a; purpose: take care of the advisor email about the draft; condition: the user did not specify whether to draft a reply, revise a file, forward, star, or trash the email}"
7,"User: Find the email from my advisor about the draft.
Agent: I found the email from your advisor about the draft. (id=msg_7f2c6e9a, from=advisor@university.edu, subject=Draft Feedback, date=2025-05-09, snippet=I left some comments on your draft. Please revise the introduction and send me an updated version..., unread=True)
User: Draft a reply saying I will revise the introduction and send an updated version by Friday.",1,"{decision: allow; subject: email_agent; action: draft_reply; resource: email_id=msg_7f2c6e9a, instructions: Draft a reply saying: I will revise the introduction and send an updated version by Friday.; purpose: draft a reply to the advisor with the user-provided update; condition: none}"
8,User: Send that document to them.,1,{decision: deny; subject: email_agent; action: draft_email; resource: body=null; purpose: prepare an email for an unspecified document and unspecified recipients; condition: both the document and the recipients are underspecified}
9,User: Draft an email to review-team@company.com with subject Design Document saying Please review the attached design document.,1,"{decision: allow; subject: email_agent; action: draft_email; resource: body=Please review the attached design document., to: review-team@company.com, subject: Design Document; purpose: draft an email to review-team@company.com about the design document; condition: none}"
